division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Equality,UFDT,sat,<=24s,no,1.068799,1.151173,5,2022-cvc5
Equality,UFDT,sat,>=24s,no,63902.1925,66525.9837,136,2022-cvc5
Equality,UFDT,starexec-unknown,>=24s,no,1206000.0,1206000.0,1005,2022-cvc5
Equality,UFDT,unsat,<=24s,no,371.118274,371.1024951,322,2022-cvc5
Equality,UFDT,unsat,>=24s,no,17868.9242,18148.6202,82,2022-cvc5
Equality+LinearArith,ALIA,sat,<=24s,no,9.761219999999998,9.7525618,13,2022-cvc5
Equality+LinearArith,ALIA,sat,>=24s,no,1019.3287,1022.4843,5,2022-cvc5
Equality+LinearArith,ALIA,starexec-unknown,<=24s,no,525.354042,547.770737,344,2022-cvc5
Equality+LinearArith,ALIA,starexec-unknown,>=24s,no,815756.6738,815753.0044,903,2022-cvc5
Equality+LinearArith,ALIA,unsat,<=24s,no,179.53498199999999,177.9764274,231,2022-cvc5
Equality+LinearArith,ALIA,unsat,>=24s,no,10490.3987,10500.7122,41,2022-cvc5
Equality+LinearArith,AUFDTLIA,sat,<=24s,no,16.218985,16.917927,45,2022-cvc5
Equality+LinearArith,AUFDTLIA,sat,>=24s,no,22043.986,22381.984,48,2022-cvc5
Equality+LinearArith,AUFDTLIA,starexec-unknown,>=24s,no,8400.0,8400.0,7,2022-cvc5
Equality+LinearArith,AUFDTLIA,unsat,<=24s,no,183.633119,183.7436639,88,2022-cvc5
Equality+LinearArith,AUFDTLIRA,starexec-unknown,<=24s,no,1.3512620000000002,1.343292,2,2022-cvc5
Equality+LinearArith,AUFDTLIRA,starexec-unknown,>=24s,no,643291.604,643292.5854,538,2022-cvc5
Equality+LinearArith,AUFDTLIRA,unsat,<=24s,no,735.104638,728.6778606,3613,2022-cvc5
Equality+LinearArith,AUFDTLIRA,unsat,>=24s,no,4945.6666000000005,4998.6502,32,2022-cvc5
Equality+LinearArith,AUFLIA,sat,<=24s,no,59.138951999999996,60.1987306,108,2022-cvc5
Equality+LinearArith,AUFLIA,sat,>=24s,no,11574.993,11684.1387,42,2022-cvc5
Equality+LinearArith,AUFLIA,starexec-unknown,<=24s,no,69.175226,73.267875,36,2022-cvc5
Equality+LinearArith,AUFLIA,starexec-unknown,>=24s,no,251376.3963,251384.545,216,2022-cvc5
Equality+LinearArith,AUFLIA,unsat,<=24s,no,238.192783,237.7924904,1158,2022-cvc5
Equality+LinearArith,AUFLIA,unsat,>=24s,no,10401.9347,10605.08,103,2022-cvc5
Equality+LinearArith,AUFLIRA,starexec-unknown,>=24s,no,137090.4459,137093.0039,117,2022-cvc5
Equality+LinearArith,AUFLIRA,unsat,<=24s,no,188.075768,187.5326686,1495,2022-cvc5
Equality+LinearArith,AUFLIRA,unsat,>=24s,no,7528.7773,7640.2448,71,2022-cvc5
Equality+LinearArith,UFDTLIA,starexec-unknown,>=24s,no,104400.0,104400.0,87,2022-cvc5
Equality+LinearArith,UFDTLIA,unsat,<=24s,no,41.632751999999996,41.6244922,24,2022-cvc5
Equality+LinearArith,UFDTLIA,unsat,>=24s,no,56567.4867,58219.0555,167,2022-cvc5
Equality+LinearArith,UFDTLIRA,sat,<=24s,no,269.875432,299.8817473,526,2022-cvc5
Equality+LinearArith,UFDTLIRA,sat,>=24s,no,773.2664,776.7681,5,2022-cvc5
Equality+LinearArith,UFDTLIRA,starexec-unknown,<=24s,no,462.762366,473.449925,196,2022-cvc5
Equality+LinearArith,UFDTLIRA,starexec-unknown,>=24s,no,227140.6554,227165.4474,242,2022-cvc5
Equality+LinearArith,UFDTLIRA,unsat,<=24s,no,212.81682,212.0789658,2155,2022-cvc5
Equality+LinearArith,UFDTLIRA,unsat,>=24s,no,845.2918,870.7866,5,2022-cvc5
Equality+LinearArith,UFIDL,sat,>=24s,no,517.204,571.463,1,2022-cvc5
Equality+LinearArith,UFIDL,starexec-unknown,<=24s,no,0.674922,0.7404630000000001,2,2022-cvc5
